,Nombre,lon,lat,Dpto
0,Puerto Inírida / Cesar Gaviria Trujillo,-67.90611,3.853611,GUAINIA
1,Armenia / El Edén,-75.766,4.451,QUINDIO
2,Puerto Asís / Tres de Mayo,-76.50083,0.5052778,PUTUMAYO
3,Bucaramanga / Palonegro,-73.184,7.126,SANTANDER
4,Bogotá / El Dorado,-74.147,4.702,SANTAFE DE BOGOTA D.C
5,Barranquilla / Ernesto Cortissoz,-74.781,10.889,ATLANTICO
6,Buenaventura / Gerardo Tobar López,-76.98972,3.819722,VALLE DEL CAUCA
7,Cucuta / Camilo Daza,-75.511,7.927,NORTE DE SANTANDER
8,Cartagena / Rafael Núñez,-75.51278,10.44194,BOLIVAR
9,Cali / Alfonso Bonilla Aragón,-76.382,3.543,VALLE DEL CAUCA
10,Barrancabermeja / Yariguies,-73.806,7.024,SANTANDER
11,Ibague / Perales,-75.133,4.421,TOLIMA
12,Ipiales / San Luis,-77.667,0.861,NARIÃ‘O
13,Carepa / Los Cedros,-76.71333,7.81111,ANTIOQUIA
14,Leticia / Alfredo Vásquez Cobo,-69.942,-4.192,AMAZONAS
15,Medellín / Olaya Herrera,-75.59028,6.219722,ANTIOQUIA
16,Montería / Los Garzones,-75.825,8.822,CORDOBA
17,Mitú / Fabio Alberto León Bentley,-70.23389,1.253611,VAUPES
18,Neiva / Benito Salas,-75.294,2.95,HUILA
19,Puerto Carreño / Germán Olano,-67.49306,6.184444,VICHADA
20,Pereira / Matecaña,-75.739,4.812,RISARALDA
21,Popayán / Guillermo León Valencia,-76.60917,2.454167,CAUCA
22,Pasto / Antonio Nariño,-77.291,1.396,NARIÃ‘O
23,Providencia Isla / El Embrujo,-81.35833,13.35694,SAN ANDRES PROVIDENCIA Y SANTA CATALINA
24,Rionegro / José Maria Córdova,-75.423,6.164,ANTIOQUIA
25,Riohacha / Almirante Padilla,-72.92583,11.52611,LA GUAJIRA
26,San Jose Del Guaviare / Jorge González,-72.63917,2.579722,GUAVIARE
27,Santa Marta / Simón Bolívar,-74.23056,11.11944,MAGDALENA
28,San Andrés Isla / Gustavo Rojas Pinilla,-81.71111,12.58361,SAN ANDRES PROVIDENCIA Y SANTA CATALINA
29,Arauca / Santiago Pérez,-70.73694,7.068889,ARAUCA
30,Quibdó / El Caraño,-76.64111,5.690833,CHOCO
31,Valledupar / Alfonso Lopez Pumarejo,-73.249,10.435,CESAR
32,Villavicencio / Vanguardia,-73.614,4.168,META
33,Tumaco / La Florida,-78.74917,1.814444,NARIÃ‘O
34,Bahia Solano / José Celestino Mutis,-77.39444,6.202778,CHOCO
35,Cartago / Santa Ana,-75.95583,4.758333,VALLE DEL CAUCA
36,Corozal / Las Brujas,-75.28556,9.332778,SUCRE
37,Florencia / Gustavo Artunduaga Paredes,-75.56444,1.589167,CAQUETA
38,Girardot / Santiago Vila,-74.79667,4.276111,TOLIMA
39,Guapi / Juan Casiano,-77.89833,2.57,CAUCA
40,Guaymaral / Flaminio Suárez,-74.06083,4.811389,SANTAFE DE BOGOTA D.C
41,Manizales / La Nubia,-75.4625,5.029722,CALDAS
42,Mariquita / Jose Celestino Mutis,-74.88361,5.2125,TOLIMA
43,San Vicente del Caguan / Eduardo Solano,-74.76611,2.151389,CAQUETA
44,Saravena / Los Colonizadores,-71.9,6.916667,ARAUCA
45,Tame / Gabriel Vargas Santos,-71.75972,6.451111,ARAUCA
46,Yopal / El Alcaraván,-72.38611,5.319722,CASANARE
