,Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado,max_presion,valor_max
102,105,Parque 3 Aguas,-75.63535999999999,6.09628,Caldas,,,,La Miel,2014-01-16,Activa,2022-01-15 09:30:00,830.0
116,122,Tasajera,-75.43522,6.4245,Barbosa,,,,El Tigre,2014-12-05,Activa,2022-01-15 09:32:00,799.0
191,197,Universidad de Medellin - Meteorologica,-75.60996999999999,6.23024,Medellin,Las Violetas,16 Belen,,,2017-08-16,Activa,2022-01-15 09:31:00,847.929993
192,198,Politecnico Jaime Isaza Cadavid - Meteorologica,-75.57777,6.20898,Medellin,Patio Bonito,14 El Poblado,,,2017-08-10,Activa,2022-01-15 09:30:00,852.8599849999999
194,201,Torre SIATA,-75.5887,6.2592,Medellin,Estadio,11 Laureles - Estadio,,,2012-12-28,Activa,2022-01-15 09:30:00,852.3
195,202,AMVA,-75.57403000000001,6.24224,Medellin,Calle Nueva,10 La Candelaria,,,2012-10-30,Activa,2022-01-15 09:30:00,855.1
196,203,UNAL-Sede Agronomia,-75.57825,6.26074,Medellin,La Iguana,07 Robledo,,,2012-10-30,Activa,2022-01-15 09:30:00,856.8
200,207,Vivero EPM Piedras Blancas,-75.49396999999999,6.28328,Guarne,,,,Piedras Blancas,2013-02-25,Activa,2022-01-15 09:31:00,770.1
225,249,Escuela CEDEPRO,-75.63624,6.21959,Medellin,,,70 Altavista,Buga - Patio Bonito,2017-11-17,Activa,2022-01-15 09:31:00,824.159973
240,269,Parque de las Aguas - Thies,-75.41871,6.40661,Barbosa,,,,Filo Verde,2018-01-04,Activa,2022-01-15 09:32:00,871.3800050000001
270,313,La Ye - Meteorologica,-75.55064,6.18254,Medellin,,,90 Santa Elena,Las Palmas,2018-05-29,Activa,2022-01-15 09:30:00,809.349976
274,318,Institucion Rafael J. Mejia - Thies,-75.62139,6.14564,Sabaneta,Tres Esquinas,,,,2018-06-14,Activa,2022-01-15 09:30:00,841.340027
294,345,Villa del Socorro - Meteorologica,-75.55391999999999,6.29552,Medellin,Villa del Socorro,02 Santa Cruz,,,2019-01-18,Activa,2022-01-15 09:31:00,848.8599849999999
306,360,Thies Miraflores- Meteorologica,-75.54919,6.22997,Medellin,Cataluna,09 Buenos Aires,,,2019-02-27,Activa,2022-01-15 09:30:00,832.539978
307,362,Proyecto Amsterdam,-75.5574,6.20136,Medellin,El Tesoro,14 El Poblado,,,2019-03-05,Activa,2022-01-15 09:30:00,823.099976
309,367,Joaquin Vallejo - Meteorologica,-75.54248,6.25525,Medellin,La Ladera,08 Villa Hermosa,,,2019-03-18,Activa,2022-01-15 09:30:00,819.869995
310,368,Federico Carrasquilla - Meteorologica,-75.54926999999999,6.297219999999999,Medellin,Popular,01 Popular,,,2019-03-29,Activa,2022-01-15 09:31:00,839.01001
339,399,Institucion Educativa Jesus Maria Valle - Meteorologica,-75.58223000000001,6.30053,Medellin,Picacho,06 Doce de Octubre,,,2019-10-09,Activa,2022-01-15 09:30:00,828.669983
342,403,Puerto Triunfo - Meteorologica,-74.6415,5.86831,Puerto Triunfo,Sector Central,,,,2019-10-17,Activa,2022-01-15 09:36:00,998.6900019999999
356,419,Thies SENA Medellin - Meteorologica,-75.57471,6.25551,Medellin,San Benito,10 La Candelaria,,,2019-12-26,Activa,2022-01-15 09:30:00,854.150024
364,427,Thies ITM Castilla - Meteorologica,-75.56912,6.2939099999999994,Medellin,Girardot,05 Castilla,,,2019-02-20,Activa,2022-01-15 09:30:00,851.6199949999999
384,448,Thies CASD - Meteorologica,-75.57523,6.297619999999999,Medellin,Pedregal ,06 Doce Octubre,,,2020-05-19,Activa,2022-01-15 09:31:00,841.400024
412,478,Fiscalia General de la Nacion - Thies,-75.57356,6.2688,Medellin,Caribe,05 Castilla,,,2020-12-17,Activa,2022-01-15 09:31:00,857.2800289999999
469,542,Santa Elena - Radar - Thies,-75.5276,6.1935,Medellin,,,90 Santa Elena,El Plan,2021-06-24,Activa,2022-01-15 09:31:00,730.049988
58,59,ISAGEN,-75.55897,6.21394,Medellin,Las Lomas No2,14 El Poblado,,,2013-04-12,Activa,2022-01-15 09:31:00,834.9
67,68,Jardin Botanico,-75.56291,6.26925,Medellin,,04 Aranjuez,,,2013-02-01,Activa,2022-01-15 09:30:00,856.9
72,73,Ciudadela Educativa La Vida,-75.50471999999999,6.34534,Copacabana,Cristo Rey,,,Cabuyal,2013-05-24,Activa,2022-01-15 09:31:00,858.4
82,83,Centro de Salud San Javier La Loma - Meteorologica,-75.63112,6.27189,Medellin,,,60 San Cristobal,La Loma,2013-07-11,Activa,2022-01-15 09:30:00,819.2
