,Codigo,Departamento,Municipio,Longitud,Latitud,fecha_max,presion_max,entidad,distancia_volcan(km),tiempo_llegada(horas),velocidad(m/s)
2,21205509.0,BOGOTA,"BOGOTA, D.C",-74.628,4.397,2022-01-15 09:40:00,708.342,IDEAM,11310.061127743726,10.633333333333333,295.45614231305444
3,21237060.0,CUNDINAMARCA,PULÍ,-74.65,4.633,2022-01-15 09:40:00,871.7689999999999,IDEAM,11316.788644258204,10.633333333333333,295.6318872585738
4,23065160.0,CUNDINAMARCA,LA VEGA,-74.333,5.017,2022-01-15 09:40:00,877.672,IDEAM,11364.460068033102,10.633333333333333,296.87722225791805
5,21205519.0,CUNDINAMARCA,SIBATÉ,-74.27199999999998,4.452,2022-01-15 09:40:00,729.4760000000001,IDEAM,11349.2697526246,10.633333333333333,296.4804010612487
6,21205524.0,CUNDINAMARCA,ZIPAQUIRÁ,-74.057,5.075,2022-01-15 09:40:00,712.885,IDEAM,11395.429236185202,10.633333333333333,297.6862391897911
7,21205521.0,CUNDINAMARCA,LA CALERA,-73.936,4.738,2022-01-15 09:40:00,717.319,IDEAM,11395.21100820866,10.633333333333333,297.68053835445824
8,35025502.0,BOGOTA,"BOGOTA, D.C",-74.0,4.56,2022-01-15 09:40:00,688.6339999999999,IDEAM,11381.747238265269,10.633333333333333,297.32882022636545
9,21205513.0,CUNDINAMARCA,FUNZA,-74.184,4.505,2022-01-15 09:40:00,755.563,IDEAM,11360.467947325042,10.633333333333333,296.7729348830993
10,24015508.0,CUNDINAMARCA,PASCA,-74.282,4.308,2022-01-15 09:40:00,761.815,IDEAM,11342.717100317006,10.633333333333333,296.3092241462124
11,21205526.0,CUNDINAMARCA,TENA,-74.389,4.691,2022-01-15 09:40:00,801.074,IDEAM,11346.204627024948,10.633333333333333,296.4003298595858
12,21205516.0,CUNDINAMARCA,PACHO,-73.852,5.172999999999999,2022-01-15 09:40:00,778.3660000000001,IDEAM,11420.51637239719,10.633333333333333,298.34159802500494
13,24015507.0,CUNDINAMARCA,SIMIJACA,-73.854,5.392,2022-01-15 09:40:00,710.6510000000001,IDEAM,11428.612821547742,10.633333333333333,298.553104011174
14,21205518.0,CUNDINAMARCA,TAUSA,-74.016,5.171,2022-01-15 09:40:00,691.415,IDEAM,11403.348946427106,10.633333333333333,297.89312817207696
15,21205517.0,CUNDINAMARCA,SOPÓ,-74.05,4.788,2022-01-15 09:40:00,751.4939999999999,IDEAM,11385.23551353395,10.633333333333333,297.4199454946173
16,35075090.0,CUNDINAMARCA,MACHETÁ,-73.65,5.083,2022-01-15 09:40:00,746.06,IDEAM,11438.15055949838,10.633333333333333,298.80226121991586
17,21205512.0,BOGOTA,"BOGOTA, D.C",-74.079,4.4689999999999985,2022-01-15 09:40:00,702.822,IDEAM,11370.03567408812,10.633333333333333,297.02287549864474
18,21205515.0,CUNDINAMARCA,SOACHA,-74.17399999999998,4.7,2022-01-15 09:40:00,706.327,IDEAM,11368.9561614745,10.633333333333333,296.99467506464214
19,21205480.0,CUNDINAMARCA,CHOCONTÁ,-73.717,5.033,2022-01-15 09:40:00,741.8810000000001,IDEAM,11429.267519540936,10.633333333333333,298.5702068845595
20,21205525.0,CUNDINAMARCA,VILLAPINZÓN,-73.585,5.229,2022-01-15 09:40:00,726.178,IDEAM,11450.467678471674,10.633333333333333,299.12402503844504
