CodigoEstacion	Comentarios
14015020	No existe en el catalogo nacional de estaciones (temperatura y precipitacion)
48015010	No existe en el catalogo nacional de estaciones (temperatura y precipitacion) Estacion de Leticia
88112901	No existe en el catalogo nacional de estaciones (temperatura y precipitacion)
35237040	No existe en el catalogo nacional de estaciones (temperatura y precipitacion)
21202270	No existe en el catalogo nacional de estaciones (precipitacion) – No tiene temperatura en el IDEAM
35217080	No existe en el catalogo nacional de estaciones (precipitacion) – No tiene temperatura en el IDEAM
35227020	No existe en el catalogo nacional de estaciones (precipitacion) – No tiene temperatura en el IDEAM
23157050	No existe en el catalogo nacional de estaciones (precipitacion) – No tiene temperatura en el IDEAM
52017020	No existe en el catalogo nacional de estaciones (precipitacion) – No tiene temperatura en el IDEAM
24025050	Estación en Pruebas
24015513	Estación en Pruebas
88112901	Estación en Pruebas – La mayoria de sus datos son nil
21202270	Estación en Pruebas
24015509	Estación en Pruebas
24025506	Estación en Pruebas
24015510	Estación en Pruebas
23145501	Estación en Pruebas
21206780	Estación fuera de Servicio
