i;CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
0;48015050;AEROPUERTO VASQUEZ COBO;amazonas;leticia;amazonas - directos;-4.193861111;-69.94091667
0;48015010;APTO VASQUEZ COBO TX GPRS/GOES;amazonas;leticia;<nil>;-4.194;-69.941
2;23087150;PUENTE REAL  - AUT;antioquia;rionegro;medio magdalena;6.143472222;-75.37994444
2;23085260;LA SELVA - AUT;antioquia;rionegro;medio magdalena;6.131916667;-75.41455556
2;23085270;APTO J.M CORDOVA TX GPRS;antioquia;rionegro;medio magdalena;6.169;-75.426
2;23087660;PUENTE LA FERIA  - AUT;antioquia;marinilla;medio magdalena;6.172666667;-75.33786111
3;21205710;JARDIN BOTANICO  - AUT;bogota;bogota;alto magdalena;4.669333333;-74.10266667
3;21206990;TIBAITATA - AUT;cundinamarca;mosquera;alto magdalena;4.691416667;-74.209
3;21205012;UNIVERSIDAD NACIONAL  - AUT;bogota;bogota;alto magdalena;4.638083333;-74.08908333
3;21205791;APTO EL DORADO - TX GPRS;bogota;bogota;alto magdalena;4.706;-74.151
3;21206600;NUEVA GENERACION  - AUT;bogota;bogota;alto magdalena;4.782222222;-74.09433333
3;21202240;UAN SEDE CIRCUNVALAR - FOPAE;bogota;bogota;alto magdalena;4.633;-74.05
3;21202220;PARAISO - FOPAE;bogota;bogota;alto magdalena;4.617;-74.05
3;2120000102;COLEGIO CARLOS PIZARRO - AUT;bogota;bogota;alto magdalena;4.635;-74.205
3;21208480;KENNEDY - FOPAE;bogota;bogota;alto magdalena;4.633;-74.15
3;2120000100;COLEGIO ALEMANIA SOLIDARIA - AUT;bogota;bogota;alto magdalena;4.652;-74.075
3;2120000099;COLEGIO VEINTIUN ANGELES - AUT;bogota;bogota;alto magdalena;4.749;-74.081
3;2120000108;IDIGER - AUT;bogota;bogota;alto magdalena;4.675;-74.114
3;2120000109;COLEGIO RODOLFO LLINAS - AUT;bogota;bogota;alto magdalena;4.72;-74.108
3;21202270;PLUVIOMETROS IDEAM BOGOTA Pruebas GPRS;bogota;bogota;alto magdalena;4.608;-74.073
3;21206620;COL H DURAN DUSAN;bogota;bogota;alto magdalena;4.635;-74.174
4;29047000;TEBSA TX GPRS;atlantico;soledad;bajo magdalena;10.937;-74.76
4;29045190;APTO ERNESTO CORTIZOS TX GPRS;atlantico;soledad;bajo magdalena;10.918;-74.78
5;26125508;LACATALINA  - AUT;risaralda;pereira;cauca;4.7475;-75.73805556
5;26135501;EL PILAMO  - AUT;risaralda;pereira;cauca;4.868333333;-75.79333333
5;26135300;PNN QUIMBAYA - AUT;risaralda;pereira;cauca;4.761916667;-75.74491667
5;26125710;APTO MATECAÑA TX GPS/GOES;risaralda;pereira;cauca;4.813;-75.74
6;23197700;MAJADAS - AUT;santander;bucaramanga;medio magdalena;7.160277778;-73.09305556
6;23195502;APTO PALONEGRO;santander;lebrija;medio magdalena;7.121;-73.185
6;2319500043;FLORIDABLANCA - AUT;santander;floridablanca;medio magdalena;7.0568;-73.1094
6;23195230;NEOMUNDO - AUT;santander;bucaramanga;medio magdalena;7.102611111;-73.10730556
7;16015110;UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT;norte de santander;cucuta;catatumbo;7.898777778;-72.48716667
7;16015501;APTO CAMILO DAZA;norte de santander;cucuta;catatumbo;7.932;-72.511
8;26125505;LA BELLA  - AUT;quindio;calarca;cauca;4.501111111;-75.67138889
8;26125504;PARAGUAICITO  - AUT;quindio;buenavista;cauca;4.395555556;-75.73416667
8;26125506;EL AGRADO  - AUT;quindio;montenegro;cauca;4.518333333;-75.7925
8;26125061;APTO EL EDEN;quindio;armenia;cauca;4.455;-75.766
8;26125290;ARMENIA - AUT;quindio;armenia;cauca;4.531583333;-75.69069444
8;26125720;CENTRO DE LA GUADUA - AUT;quindio;cordoba;cauca;4.402047222;-75.716025
9;13035501;APTO LOS GARZONES;cordoba;monteria;sinu;8.826;-75.825
9;13067020;MONTERIA  - AUT;cordoba;monteria;sinu;8.751611111;-75.89241667
9;13055040;INCODER - AUT;cordoba;monteria;sinu;8.746944444;-75.91388889
11;28035060;FEDEARROZ - AUT;cesar;valledupar;cesar;10.46361111;-73.24805556
11;28037030;PUENTE SALGUERO  - AUT;cesar;valledupar;cesar;10.38411111;-73.23247222
11;28025502;APTO ALFONSO LOPEZ;cesar;valledupar;cesar;10.436;-73.248
13;35035100;ICA VILLAVICENCIO  - AUT;meta;villavicencio;meta;4.137388889;-73.625
13;35037100;PUENTE ABADIA - AUT;meta;villavicencio;meta;4.235333333;-73.63536111
14;21215170;LA MARTINICA;tolima;ibague;alto magdalena;4.402;-75.229
14;2121500048;IBAGUE - AUT;tolima;ibague;alto magdalena;4.418808333;-75.20585
15;23157030;BARRANCABERMEJA  - AUT;santander;barrancabermeja;medio magdalena;7.060194444;-73.876
15;23157050;BARRANCABERMEJA;<nil>;<nil>;<nil>;7.06;-73.877
16;52055230;AEROPUERTO SAN LUIS - AUT;narino;aldana;patia;0.857;-77.678
16;52057100;RUMICHACA - RIO GUAITARA;narino;ipiales;patia;0.814;-77.662
