CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
31095030;PTO INIRIDA;guainia;inirida;inirida;3.868;-67.932
26125505;LA BELLA  - AUT;quindio;calarca;cauca;4.501111111;-75.67138889
23197700;MAJADAS - AUT;santander;bucaramanga;medio magdalena;7.160277778;-73.09305556
21205710;JARDIN BOTANICO  - AUT;bogota;bogota;alto magdalena;4.669333333;-74.10266667
29047000;TEBSA TX GPRS;atlantico;soledad;bajo magdalena;10.937;-74.76
5311500056;UNIVERSIDAD DEL PACIFICO - AUT;valle del cauca;buenaventura;tapaje - dagua - directos;3.848308333;-76.987016667
25017010;MONTELIBANO - AUT;cordoba;montelibano;bajo magdalena- cauca -san jorge;7.987972222;-75.41733333
14019030;CC DIQUE: CIOH;bolivar;cartagena de indias;caribe - litoral;10.391;-75.534
26075150;APTO ALFONSO BONILLA ARAGON - TX GPRS;valle del cauca;palmira;cauca;3.533;-76.382
23157030;BARRANCABERMEJA  - AUT;santander;barrancabermeja;medio magdalena;7.060194444;-73.876
21215170;LA MARTINICA;tolima;ibague;alto magdalena;4.402;-75.229
52055230;AEROPUERTO SAN LUIS - AUT;narino;aldana;patia;0.857;-77.678
12015060;TULENAPA  - AUT;antioquia;carepa;caribe - litoral;7.773944444;-76.66575
48015050;AEROPUERTO VASQUEZ COBO;amazonas;leticia;amazonas - directos;-4.193861111;-69.94091667
27015330;APTO OLAYA HERRERA - TX GPRS;antioquia;medellin;nechi;6.221;-75.589
13035501;APTO LOS GARZONES;cordoba;monteria;sinu;8.826;-75.825
42077020;MITU;vaupes;mitu;vaupes;1.26;-70.239
21097070;PTE SANTANDER - TX GPRS;huila;neiva;alto magdalena;2.943;-75.309
26125508;LACATALINA  - AUT;risaralda;pereira;cauca;4.7475;-75.73805556
26015010;EL TABLAZO - AUT;cauca;popayan;cauca;2.474833056;-76.58129361
17025020;AEROPUERTO EL EMBRUJO;san andres;san andres;islas caribe;13.36;-81.358
23087150;PUENTE REAL  - AUT;antioquia;rionegro;medio magdalena;6.143472222;-75.37994444
15065180;APTO ALMIRANTE PADILLA TX GPRS;la guajira;riohacha;caribe - guajira;11.53;-72.918
32105080;SAN JOSE DEL GUAVIARE;guaviare;san jose del guaviare;guaviare;2.553;-72.647
17019010;SAN ANDRES;san andres;san andres;islas caribe;12.556;-81.703
3706500109;ARAUCA TERMINAL - AUT;arauca;arauca;arauca;7.063780556;-70.733080556
11045010;PR CHOCO: APTO EL CARANO;choco;quibdo;atrato - darien;5.691;-76.644
28035060;FEDEARROZ - AUT;cesar;valledupar;cesar;10.46361111;-73.24805556
35035100;ICA VILLAVICENCIO  - AUT;meta;villavicencio;meta;4.137388889;-73.625
51039010;TUMACO - AUT;narino;tumaco;mira;1.819305556;-78.73027778
56015010;PR CHOCO: PANAMERICANA;choco;bahia solano (mutis);pacifico - directos;6.223;-77.404
26105250;ZARAGOZA - AUT;valle del cauca;cartago;cauca;4.689777778;-75.92519444
25025280;EL TESORO IDEAM  - AUT;sucre;morroa;bajo magdalena- cauca -san jorge;9.357083333;-75.28925
44035050;MACAGUAL - AUT;caqueta;florencia;caqueta;1.499722222;-75.661
2119700147;SAN MIGUEL - AUT;cundinamarca;ricaurte;alto magdalena;4.242711111;-74.742869444
53045040;AEROPUERTO GUAPI - AUT;cauca;guapi;tapaje - dagua - directos;2.574416667;-77.89475
2120700146;UNIVERSIDAD DE LA SABANA - AUT;cundinamarca;chia;alto magdalena;4.85475;-74.04
26155220;VILLAMARIA - AUT;caldas;villamaria;cauca;5.048666667;-75.51388889
23017040;LA ESPERANZA- GUALÍ;tolima;mariquita;medio magdalena;5.206;-74.914
46015030;SAN VICENTE DEL CAGUAN  - AUT;caqueta;san vicente del caguan;caguan;2.063;-74.76269444
37045010;SARAVENA  - AUT;arauca;saravena;arauca;6.946388889;-71.89055556
35215020;APTO YOPAL;casanare;yopal;meta;5.32;-72.388
