lon;lat
-67.90611;3.853611
-76.50083;0.5052778
-74.781;10.889
-76.98972;3.819722
-75.511;7.927
-76.382;3.543
-73.806;7.024
-75.133;4.421
-76.71333;7.81111
-75.294;2.95
-67.49306;6.184444
-76.60917;2.454167
-77.291;1.396
-72.63917;2.579722
-74.23056;11.11944
-81.71111;12.58361
-73.614;4.168
-78.74917;1.814444
-77.39444;6.202778
-75.95583;4.758333
-75.28556;9.332778
-75.56444;1.589167
-74.79667;4.276111
-74.06083;4.811389
-75.4625;5.029722
-74.88361;5.2125
-74.76611;2.151389
-71.9;6.916667
-71.75972;6.451111
